name,hdi
Norway,.953
Switzerland,.944
Australia,.939
Ireland,.938
Germany,.936
Iceland,.935
Hong Kong,.933
Sweden,.933
Singapore,.932
Netherlands,.931
Denmark,.929
Canada,.926
United States,.924
United Kingdom,.922
Finland,.920
New Zealand,.917
Belgium,.916
Liechtenstein,.916
Japan,.909
Austria,.908
Luxembourg,.904
Israel,.903
South Korea,.903
France,.901
Slovenia,.896
Spain,.891
Czech Republic,.888
Italy,.880
Malta,.878
Estonia,.871
Greece,.870
Cyprus,.869
Poland,.865
United Arab Emirates,.863
Andorra,.858
Lithuania,.858
Qatar,.856
Slovakia,.855
Brunei,.853
Saudi Arabia,.853
Latvia,.847
Portugal,.847
Chile,.843
Hungary,.838
Croatia,.831
Argentina,.825
Oman,.821
Russia,.816
Montenegro,.814
Bulgaria,.813
Romania,.811
Belarus,.808
Bahamas,.807
Uruguay,.804
Kuwait,.803
Malaysia,.802
Barbados,.800
Kazakhstan,.800
Iran,.798
Seychelles,.797
Costa Rica,.794
Turkey,.791
Mauritius,.790
Panama,.789
Serbia,.787
Albania,.785
Trinidad and Tobago,.784
Antigua and Barbuda,.780
Georgia,.780
Saint Kitts and Nevis,.778
Cuba,.777
Mexico,.774
Grenada,.772
Sri Lanka,.770
Bosnia and Herzegovina,.768
Venezuela,.761
Brazil,.759
Lebanon,.757
North Macedonia,.757
Armenia,.755
Thailand,.755
Algeria,.754
China,.752
Ecuador,.752
Ukraine,.751
Peru,.750
Saint Lucia,.747
Fiji,.741
Mongolia,.741
Dominican Republic,.736
Tunisia,.735
Tonga,.726
Saint Vincent and the Grenadines,.723
Suriname,.720
Botswana,.717
Maldives,.717
Dominica,.715
Samoa,.713
Uzbekistan,.710
Belize,.708
Libya,.706
Turkmenistan,.706
Gabon,.702
Moldova,.700
Philippines,.699
South Africa,.699
Egypt,.696
Indonesia,.694
Vietnam,.694
Bolivia,.693
Palestine,.686
Iraq,.685
El Salvador,.674
Kyrgyzstan,.672
Morocco,.667
Nicaragua,.658
Cape Verde,.654
Guyana,.654
Guatemala,.650
Tajikistan,.650
Namibia,.647
India,.640
East Timor,.625
Honduras,.617
Kiribati,.612
Bhutan,.612
Bangladesh,.608
Congo, Republic of the,.606
Vanuatu,.603
Laos,.601
Ghana,.592
Equatorial Guinea,.591
Kenya,.590
São Tomé and Príncipe,.589
Swaziland,.588
Zambia,.588
Cambodia,.582
Angola,.581
Myanmar,.578
Nepal,.574
Pakistan,.562
Cameroon,.556
Solomon Islands,.546
Papua New Guinea,.544
Tanzania,.538
Zimbabwe,.535
Nigeria,.532
Rwanda,.524
Lesotho,.520
Mauritania,.520
Madagascar,.519
Uganda,.516
Benin,.515
Senegal,.505
Comoros,.503
Togo,.503
Sudan,.502
Haiti,.498
Afghanistan,.498
Ivory Coast,.492
Malawi,.477
Djibouti,.476
Ethiopia,.463
The Gambia,.460
Guinea,.459
Guinea-Bissau,.455
Yemen,.452
Eritrea,.440
Mozambique,.437
Liberia,.435
Mali,.427
Burkina Faso,.423
Sierra Leone,.419
Burundi,.417
Chad,.404
South Sudan,.388
Central African Republic,.367
Niger,.354
